histeq
buckets,10000
bitflips,16
runs,10
loads,438530
bucket_size,43

Architecture:                       x86_64
CPU op-mode(s):                     32-bit, 64-bit
Address sizes:                      48 bits physical, 48 bits virtual
Byte Order:                         Little Endian
CPU(s):                             256
On-line CPU(s) list:                0-255
Vendor ID:                          AuthenticAMD
Model name:                         AMD EPYC 7763 64-Core Processor
CPU family:                         25
Model:                              1
Thread(s) per core:                 2
Core(s) per socket:                 64
Socket(s):                          2
Stepping:                           1
BogoMIPS:                           4891.11
Flags:                              fpu vme de pse tsc msr pae mce cx8 apic sep mtrr pge mca cmov pat pse36 clflush mmx fxsr sse sse2 ht syscall nx mmxext fxsr_opt pdpe1gb rdtscp lm constant_tsc rep_good nopl nonstop_tsc cpuid extd_apicid aperfmperf rapl pni pclmulqdq monitor ssse3 fma cx16 pcid sse4_1 sse4_2 x2apic movbe popcnt aes xsave avx f16c rdrand lahf_lm cmp_legacy svm extapic cr8_legacy abm sse4a misalignsse 3dnowprefetch osvw ibs skinit wdt tce topoext perfctr_core perfctr_nb bpext perfctr_llc mwaitx cpb cat_l3 cdp_l3 invpcid_single hw_pstate ssbd mba ibrs ibpb stibp vmmcall fsgsbase bmi1 avx2 smep bmi2 invpcid cqm rdt_a rdseed adx smap clflushopt clwb sha_ni xsaveopt xsavec xgetbv1 xsaves cqm_llc cqm_occup_llc cqm_mbm_total cqm_mbm_local clzero irperf xsaveerptr rdpru wbnoinvd amd_ppin brs arat npt lbrv svm_lock nrip_save tsc_scale vmcb_clean flushbyasid decodeassists pausefilter pfthreshold v_vmsave_vmload vgif v_spec_ctrl umip pku ospke vaes vpclmulqdq rdpid overflow_recov succor smca
Virtualization:                     AMD-V
L1d cache:                          4 MiB (128 instances)
L1i cache:                          4 MiB (128 instances)
L2 cache:                           64 MiB (128 instances)
L3 cache:                           512 MiB (16 instances)
NUMA node(s):                       8
NUMA node0 CPU(s):                  0-15,128-143
NUMA node1 CPU(s):                  16-31,144-159
NUMA node2 CPU(s):                  32-47,160-175
NUMA node3 CPU(s):                  48-63,176-191
NUMA node4 CPU(s):                  64-79,192-207
NUMA node5 CPU(s):                  80-95,208-223
NUMA node6 CPU(s):                  96-111,224-239
NUMA node7 CPU(s):                  112-127,240-255
Vulnerability Gather data sampling: Not affected
Vulnerability Itlb multihit:        Not affected
Vulnerability L1tf:                 Not affected
Vulnerability Mds:                  Not affected
Vulnerability Meltdown:             Not affected
Vulnerability Mmio stale data:      Not affected
Vulnerability Retbleed:             Not affected
Vulnerability Spec store bypass:    Mitigation; Speculative Store Bypass disabled via prctl
Vulnerability Spectre v1:           Mitigation; usercopy/swapgs barriers and __user pointer sanitization
Vulnerability Spectre v2:           Mitigation; Retpolines, IBPB conditional, IBRS_FW, STIBP always-on, RSB filling, PBRSB-eIBRS Not affected
Vulnerability Srbds:                Not affected
Vulnerability Tsx async abort:      Not affected

bucket_id,error_rate=0/32,error_rate=1/32,error_rate=2/32,error_rate=3/32,error_rate=4/32,error_rate=5/32,error_rate=6/32,error_rate=7/32,error_rate=8/32,error_rate=9/32,error_rate=10/32,error_rate=11/32,error_rate=12/32,error_rate=13/32,error_rate=14/32,error_rate=15/32,
1460,0.0,0.7984855169999998,0.9465695890000001,0.9959514129999999,0.997769509,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
1430,0.0,0.8042703260000001,0.987765091,0.996403229,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
2540,0.0,0.7742149200000001,0.945673062,0.994590393,0.9879836799999999,0.9987654349999999,1.0,1.0,1.0,0.998197326,1.0,1.0,1.0,1.0,1.0,1.0,
570,0.0,0.6169300229999999,0.9569775970000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
2300,0.0,0.764209673,0.9755627560000001,0.99509972,0.9925858240000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
520,0.0,0.784420923,0.986459677,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
1540,0.0,0.7895940379999999,0.9867351840000002,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
1340,0.0,0.8079585870000001,0.958693208,0.994734012,0.99038878,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
580,0.0,0.7538530150000001,0.976052381,0.9982364300000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
2310,0.0,0.718028706,0.9101256499999998,0.9902792970000001,0.983596262,0.9900803360000001,1.0,1.0,1.0,0.9912862880000001,1.0,1.0,1.0,1.0,1.0,1.0,
1170,0.0,0.616982173,0.9574565610000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
230,0.0,0.637942584,0.9641735410000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
1920,0.0,0.7295032760000001,0.9085378299999999,0.9783602730000001,0.979237897,1.0,0.9922009639999999,0.991449931,1.0,0.9907372429999999,1.0,1.0,1.0,1.0,1.0,1.0,
1400,0.0,0.826096282,0.9776714180000001,1.0,0.994846044,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
1940,0.0,0.785061279,0.9848003459999999,1.0,0.99389596,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
1080,0.0,0.609667457,0.965130552,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
1280,0.0,0.775612251,0.977166701,0.9920407919999998,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
2080,0.0,0.690532991,0.884797739,0.9899218989999999,0.983066056,0.9980840360000001,1.0,0.999073817,1.0,0.99640539,0.995700778,1.0,1.0,1.0,1.0,1.0,
2250,0.0,0.744338112,0.9466379570000001,0.984216444,1.0,0.999453626,1.0,1.0,1.0,0.999096998,1.0,1.0,1.0,1.0,1.0,1.0,
1820,0.0,0.7375821320000001,0.922045131,0.9996496990000001,0.9978545029999999,1.0,0.998240118,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
2330,0.0,0.769569705,0.9662782959999999,0.994601454,0.9926741830000001,1.0,0.997981262,1.0,1.0,0.9975354830000001,1.0,1.0,1.0,1.0,1.0,1.0,
560,0.0,0.7981927630000001,0.992602883,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
200,0.0,0.6548713389999998,0.991302861,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
1480,0.0,0.722749027,0.9726528740000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
2430,0.0,0.8181945860000001,0.991045143,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
1160,0.0,0.8454455700000001,0.9959965329999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
770,0.0,0.8226855919999998,0.991474992,0.994509543,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
1000,0.0,0.7938322069999999,0.981994885,0.990762996,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
480,0.0,0.742354771,0.9665351169999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
2470,0.0,0.76881445,0.971548826,0.9967126839999999,1.0,0.9992186829999999,0.996289563,1.0,1.0,0.9973202180000001,1.0,1.0,1.0,1.0,1.0,1.0,
640,0.0,0.723468185,0.974682662,0.9962467159999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
2390,0.0,0.765946099,0.9754621010000001,0.988507839,0.991998051,0.9988047550000001,0.994036833,0.999989493,1.0,0.9998985900000001,1.0,1.0,1.0,1.0,1.0,1.0,
1550,0.0,0.769941066,0.984828716,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
2180,0.0,0.7982048670000002,0.968112775,0.999878871,1.0,1.0,1.0,1.0,1.0,0.998313242,1.0,1.0,1.0,1.0,1.0,1.0,
2530,0.0,0.789380587,0.966592629,0.995951148,1.0,1.0,0.9950339570000001,1.0,1.0,0.999137181,1.0,1.0,1.0,1.0,1.0,1.0,
1930,0.0,0.746039651,0.9620663290000001,0.993707871,1.0,1.0,1.0,1.0,1.0,0.9917995919999999,1.0,1.0,1.0,1.0,1.0,1.0,
760,0.0,0.7148201280000002,0.9725196800000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
1890,0.0,0.694900082,0.9298205679999999,0.983674007,0.9830832130000001,1.0,0.994496554,0.9975402299999999,1.0,0.9926123990000001,1.0,1.0,1.0,1.0,1.0,1.0,
2050,0.0,0.6851754270000001,0.9137511180000001,0.9791182299999999,0.9799967879999999,0.9972635610000001,1.0,0.998566246,1.0,0.996944351,0.9976852359999999,1.0,1.0,0.9992395079999999,1.0,1.0,
2170,0.0,0.768506685,0.9879647630000001,0.993912456,0.9987044780000002,1.0,1.0,1.0,1.0,0.9994372949999999,1.0,1.0,1.0,1.0,0.9986750900000001,0.9991172450000001,
2420,0.0,0.76426388,0.9635047849999999,0.9882442000000001,0.9988601100000001,1.0,0.9917338619999999,0.999208129,1.0,0.9986552060000001,1.0,1.0,1.0,0.999756015,0.999201169,1.0,
1220,0.0,0.8043439549999999,0.9893949259999999,0.995168475,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
2460,0.0,0.810140803,0.959500055,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
1500,0.0,0.8347929470000001,0.9980370279999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
120,0.0,0.7492855860000001,0.9761085979999999,0.991407963,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
1100,0.0,0.837244221,0.988789049,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
1710,0.0,0.782124593,0.978620272,0.999533169,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
960,0.0,0.7212133460000001,0.962729315,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
2520,0.0,0.8271608020000001,0.995715418,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
630,0.0,0.5988911109999998,0.965448806,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
1380,0.0,0.791292211,0.997010302,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
1010,0.0,0.8514098800000001,0.99833695,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
720,0.0,0.618059981,0.9629436800000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
2500,0.0,0.78854341,0.974766472,0.998967352,1.0,1.0,0.995568703,1.0,1.0,0.996154415,1.0,1.0,1.0,1.0,1.0,1.0,
840,0.0,0.6172216559999999,0.962799278,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
150,0.0,0.757695631,0.968751382,0.9919615539999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
1800,0.0,0.772865814,0.944649916,1.0,0.991285667,1.0,1.0,1.0,1.0,0.997026924,1.0,1.0,1.0,1.0,1.0,1.0,
450,0.0,0.7771002669999999,0.987027597,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
660,0.0,0.613380455,0.9596561589999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
500,0.0,0.7407779059999999,0.983103782,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
1600,0.0,0.8125910559999999,0.984473128,1.0,0.985384474,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
1250,0.0,0.809423,0.963639386,0.994012945,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
1130,0.0,0.8583877870000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
730,0.0,0.721234624,0.983081602,0.9958270920000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
1200,0.0,0.604575234,0.963885118,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
670,0.0,0.7330615429999999,0.9685674040000001,0.996742227,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
1810,0.0,0.802009934,0.978234696,0.9994799010000002,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
990,0.0,0.66423643,0.94984833,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
1770,0.0,0.796423954,0.9574678990000001,0.993676715,0.993540765,1.0,1.0,1.0,1.0,0.9986658549999999,1.0,1.0,0.999275173,1.0,1.0,1.0,
1420,0.0,0.7893747359999999,0.990267129,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
80,0.0,0.753631169,0.9701937089999999,0.993056803,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
2440,0.0,0.768371651,0.9798248449999999,0.991767282,1.0,1.0,0.9940544880000001,1.0,1.0,0.9971321920000001,1.0,1.0,1.0,1.0,1.0,1.0,
530,0.0,0.795891772,0.9899828810000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
2450,0.0,0.7621827270000001,0.96846152,0.9914645200000001,0.994971587,1.0,0.994370591,1.0,1.0,0.99861612,1.0,1.0,1.0,1.0,1.0,1.0,
1780,0.0,0.8229927800000001,0.98418563,0.999761483,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
110,0.0,0.7207707300000001,0.9767965220000001,0.9952659220000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
1860,0.0,0.736223337,0.909186922,0.983389953,0.9827562540000001,0.997648095,0.996076854,0.999628815,1.0,0.994344637,1.0,1.0,1.0,1.0,1.0,1.0,
850,0.0,0.7435885360000001,0.976834928,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
1680,0.0,0.814220104,0.9623793989999999,0.999786157,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
1660,0.0,0.843359695,0.9914460070000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
2260,0.0,0.825430047,0.985840735,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
1830,0.0,0.744978808,0.921473486,0.995383576,0.9875935850000002,1.0,1.0,1.0,1.0,0.999769062,1.0,1.0,1.0,1.0,1.0,1.0,
1990,0.0,0.7194407700000001,0.9375419189999998,0.9844926560000001,0.984733186,0.997092398,1.0,1.0,1.0,0.995391125,1.0,1.0,1.0,1.0,1.0,1.0,
1960,0.0,0.7260803220000001,0.954608966,0.9901925599999999,0.9983802340000001,0.999921052,0.9942768000000001,1.0,1.0,0.9957219,1.0,1.0,1.0,1.0,1.0,1.0,
1650,0.0,0.7890674609999999,0.9833716650000002,0.998503777,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
2360,0.0,0.769810569,0.9704905690000001,0.9913350409999999,0.9951975689999999,1.0,0.994633194,1.0,1.0,1.0,1.0,1.0,1.0,0.9942216869999999,0.999692935,1.0,
970,0.0,0.8013781210000002,0.988825797,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
2110,0.0,0.7266991620000001,0.95954698,0.985196513,0.9958339369999999,1.0,1.0,1.0,1.0,1.0,1.0,0.999550982,1.0,0.991260263,0.9985832269999999,1.0,
700,0.0,0.718423561,0.9818761909999999,0.996810638,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
1350,0.0,0.7653007669999999,0.983101813,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
1190,0.0,0.839314735,0.983424451,0.9982713750000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
1260,0.0,0.668194053,0.964915092,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
2290,0.0,0.8257644279999999,0.9929482000000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
2480,0.0,0.764099751,0.9755862869999999,0.9904138809999999,0.998883086,1.0,0.993310399,1.0,1.0,1.0,1.0,1.0,0.998705824,1.0,1.0,1.0,
2230,0.0,0.7890721980000001,0.986431177,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
1840,0.0,0.7824372890000001,0.978015235,0.9989133389999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
2140,0.0,0.792458207,0.988046446,0.9896127589999999,0.998297187,1.0,1.0,1.0,1.0,0.997811299,0.9975207210000001,0.998491846,1.0,0.9919512059999999,0.995713,1.0,
810,0.0,0.6210229170000001,0.964010489,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
1140,0.0,0.6039283719999999,0.9659811600000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
1410,0.0,0.8032918050000001,0.9965464749999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
2020,0.0,0.730362314,0.901571352,0.98166112,0.988651939,1.0,0.996387541,0.999742908,1.0,0.9936722039999999,1.0,1.0,1.0,1.0,1.0,1.0,
1740,0.0,0.7799840290000001,0.9762231700000001,0.993208446,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
510,0.0,0.6718264030000001,0.976568154,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
180,0.0,0.776835285,0.9768836610000001,0.98814353,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
1020,0.0,0.6582179690000001,0.965344749,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
860,0.0,0.8017577859999999,0.992066412,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
1530,0.0,0.8687003579999999,0.998524593,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
610,0.0,0.7294633210000001,0.9751291139999999,0.9966359390000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
920,0.0,0.731483929,0.98918062,0.998609394,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
1690,0.0,0.8405877930000001,0.9981545650000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
1630,0.0,0.828715339,0.9916056089999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
1440,0.0,0.8178573519999999,0.997041071,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
1670,0.0,0.8434298029999999,0.9949862740000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
870,0.0,0.675343645,0.9455421710000002,0.985654394,0.999239262,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
0,0.0,0.8190705210000001,0.911987446,0.989050039,0.992659555,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
10,0.0,0.690596774,0.9380816730000001,1.0,1.0,1.0,1.0,1.0,1.0,0.997018537,1.0,1.0,1.0,0.995506664,1.0,1.0,
1331,0.0,0.72681909,0.97194483,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
1061,0.0,0.8331699450000001,0.9132586079999999,0.9716039399999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
2011,0.0,0.814734574,0.917425323,0.9843688119999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
1091,0.0,0.817782845,0.917598223,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
1181,0.0,0.646920657,0.9713719430000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
1151,0.0,0.6570774380000001,0.9437408300000001,0.9936760379999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
2061,0.0,0.748009244,0.931990663,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.989903144,1.0,1.0,1.0,1.0,1.0,
1031,0.0,0.827864179,0.915441259,0.990634805,1.0,1.0,1.0,1.0,1.0,1.0,0.995536252,1.0,1.0,1.0,1.0,1.0,
2041,0.0,0.805921387,0.9308832380000001,0.9967163859999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
1791,0.0,0.809553528,0.928014919,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
2131,0.0,0.6676348320000001,0.8939387899999998,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
2091,0.0,0.7792551189999999,0.9218461720000001,0.979177333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
1301,0.0,0.7997591,0.915742525,0.9923721329999999,0.9987267339999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
1981,0.0,0.7367426250000001,0.943783719,0.986751338,0.998884299,1.0,0.9993531470000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
251,0.0,0.816613364,0.9522202359999999,0.9991129539999999,0.995992932,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
1361,0.0,0.715078968,0.963268115,1.0,0.995800523,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
2071,0.0,0.780609107,0.927758256,0.99072222,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
1211,0.0,0.659761835,0.933544322,0.993608925,0.999826683,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
2221,0.0,0.747468701,0.9005449630000001,0.9775793170000002,0.9908924370000001,1.0,1.0,1.0,1.0,1.0,0.9945511119999999,1.0,1.0,1.0,1.0,1.0,
1951,0.0,0.7593136439999999,0.8974182970000001,0.9805784510000001,1.0,0.9999985880000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
2001,0.0,0.785359356,0.908453836,0.976777848,0.994985617,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
221,0.0,0.8113059359999999,0.9501360179999999,0.994295625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
211,0.0,0.738527418,0.9312033679999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
2281,0.0,0.717892363,0.942531053,0.9955102760000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
711,0.0,0.70960185,0.9079534180000002,0.989768912,0.994773934,1.0,1.0,1.0,1.0,1.0,0.99302092,1.0,1.0,1.0,1.0,1.0,
71,0.0,0.708753684,0.9187054399999999,0.9852294950000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
2271,0.0,0.831442196,0.9436590069999999,0.9912657809999998,0.9944479489999999,0.9988698850000001,1.0,1.0,0.99832292,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
241,0.0,0.8943858890000002,0.961870036,0.997150903,0.99663457,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
2551,0.0,0.7270816159999999,0.902424857,0.9794210080000001,0.998261608,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
271,0.0,0.83339657,0.967887936,1.0,0.9940794929999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
1451,0.0,0.705990508,0.8694789970000001,0.997748978,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
621,0.0,0.825400915,0.943442407,0.9925189549999999,0.996306465,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
341,0.0,0.829941019,0.9711198529999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
91,0.0,0.7707256169999999,0.9367530610000001,0.992764434,1.0,1.0,1.0,1.0,1.0,0.9983583169999999,1.0,1.0,1.0,1.0,1.0,1.0,
1611,0.0,0.8151065130000001,0.8622038900000002,0.973637313,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
1241,0.0,0.7351627799999999,0.8786886770000001,0.978465941,0.982341061,0.998932154,0.9968675100000001,1.0,0.998873506,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
101,0.0,0.710643745,0.932484562,0.9758771019999999,1.0,1.0,1.0,1.0,1.0,0.997358638,1.0,1.0,1.0,1.0,1.0,1.0,
651,0.0,0.717846478,0.9132065519999999,0.999661371,0.995143356,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
1971,0.0,0.688251743,0.9307329400000001,0.9812150089999999,0.9984415070000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
371,0.0,0.7398231570000001,0.9657589380000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
